STT,Miền,Vùng,Khu vực,Mã NPP,Tên NPP,Mã NV,Tên NV,Mã KH,Tên KH,Số nhà/Khu,Tên đường/Xã/Phường,TP (Tx)/Quận (Huyện),Mã đơn hàng,Trạng thái,Loại đơn,Mã sản phẩm,Tên sản phẩm,Ngày lấy đơn,Số lượng (Lẻ),Hàng bán (Thùng),Hàng bán (Hộp/bịch),Hàng KM (Thùng),Hàng KM (hộp/bịch),Đơn giá lẻ,Đơn giá thùng,Thành tiền,Chiết khấu (Lì xì),"Mã CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Tên CTKM 
 (Mua hàng/Voucher/Phiếu thu hồi)","Số lượng/Điểm trả thưởng 
 (Game/Voucher/Loyalty)","Mã chương trình 
 (Game/Voucher/Loyalty)"," Tên chương trình 
 (Game/Voucher/Loyalty)"
1305,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005174,Đã duyệt,Đơn bán,FACA02,Ca.40b,04/02/2024 22:58:46,80,2,0,,,3780,151200,302400,0,,,,,
1306,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005204,Đã duyệt,Đơn bán,FANC04,Fl.36h,19/02/2024 15:12:45,36,1,0,,,4391,158073,158073,0,,,,,
1307,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005204,Đã duyệt,Đơn bán,FANC09,Fc.36h,19/02/2024 15:12:45,36,1,0,,,4391,158073,158073,0,,,,,
1308,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005204,Đã duyệt,Đơn bán,FACA14,Cs.36h,19/02/2024 15:12:45,36,1,0,,,4555,163963,163963,0,,,,,
1309,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005204,Đã duyệt,Đơn bán,FANC04,Fl.36h,19/02/2024 15:12:45,6,,,0,6,4391,158073,0,,KM1360WWCM - N1,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FI.36H TẶNG 1 LỐC,,,
1310,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005204,Đã duyệt,Đơn bán,FANC09,Fc.36h,19/02/2024 15:12:45,6,,,0,6,4391,158073,0,,KM1360WWCM - N2,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FC.36H TẶNG 1 LỐC,,,
1311,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005204,Đã duyệt,Đơn bán,FACA14,Cs.36h,19/02/2024 15:12:45,6,,,0,6,4555,163963,0,,KM1360WWCM - N3,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC CS.36H TẶNG 1 LỐC,,,
1312,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005326,Đã duyệt,Đơn bán,FANC01,Fa.36h,25/03/2024 08:01:52,36,1,0,,,4391,158073,158073,18969,KM3422WCMFA36H,KM WCM TỪ 14/03-07/04/2024,,,
1313,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005326,Đã duyệt,Đơn bán,FAGS02,Gn.36h,25/03/2024 08:01:52,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
1314,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005326,Đã duyệt,Đơn bán,FAGS01,Gl.36h,25/03/2024 08:01:52,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
1315,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005326,Đã duyệt,Đơn bán,FANC09,Fc.36h,25/03/2024 08:01:52,36,1,0,,,4391,158073,158073,0,,,,,
1316,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005326,Đã duyệt,Đơn bán,FANC09,Fc.36h,25/03/2024 08:01:52,6,,,0,6,4391,158073,0,,KM3422WCM - N2,KM WCM TỪ 14/03-07/04/2024 - MUA 6 LỐC FC.36H TẶNG 1 LỐC,,,
1317,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005407,Đã duyệt,Đơn bán,FANC05,Fl.40b,04/04/2024 16:04:33,40,1,0,,,3682,147273,147273,20618,KM3612WCM,KM WCM TỪ 28/03-21/04/2024,,,
1318,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005407,Đã duyệt,Đơn bán,FANC10,Fs.36h,04/04/2024 16:04:33,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
1319,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005407,Đã duyệt,Đơn bán,FACA01,Ca.36h,04/04/2024 16:04:33,36,1,0,,,4555,163963,163963,0,,,,,
1320,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005550,Đã duyệt,Đơn bán,VEYO03,Vp.30h,13/05/2024 18:18:00,30,1,0,,,7495,224837,224837,33726,KM4097CKSCU,KM WCM+ TỪ 28/03-30/06/2024,,,
1321,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005550,Đã duyệt,Đơn bán,FANC04,Fl.36h,13/05/2024 18:18:00,36,1,0,,,4391,158073,158073,18969,KM7532CKWCM,KM WCM+ TỪ 09/05-30/06/2024,,,
1322,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005550,Đã duyệt,Đơn bán,FANC02,Fa.40b,13/05/2024 18:18:00,40,1,0,,,3682,147273,147273,0,,,,,
1323,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005550,Đã duyệt,Đơn bán,FANC01,Fa.36h,13/05/2024 18:18:00,36,1,0,,,4391,158073,158073,0,,,,,
1324,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005642,Đã duyệt,Đơn bán,FANC10,Fs.36h,04/06/2024 19:46:35,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
1325,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005642,Đã duyệt,Đơn bán,FANC09,Fc.36h,04/06/2024 19:46:35,36,1,0,,,4391,158073,158073,23711,KM7532CKWCM,KM WCM+ TỪ 09/05-30/06/2024,,,
1326,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005642,Đã duyệt,Đơn bán,FACA06,Cl.40b,04/06/2024 19:46:35,40,1,0,,,3780,151200,151200,48384,KM8003CKWCM,KM WCM+ TỪ 20/05-16/06/2024,,,
1327,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005642,Đã duyệt,Đơn bán,FANC01,Fa.36h,04/06/2024 19:46:35,36,1,0,,,4391,158073,158073,18969,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
1328,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005642,Đã duyệt,Đơn bán,FANC02,Fa.40b,04/06/2024 19:46:35,40,1,0,,,3682,147273,147273,0,,,,,
1329,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005642,Đã duyệt,Đơn bán,FACA02,Ca.40b,04/06/2024 19:46:35,40,1,0,,,3780,151200,151200,0,,,,,
1330,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005695,Đã duyệt,Đơn bán,FANC10,Fs.36h,17/06/2024 20:32:56,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
1331,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005695,Đã duyệt,Đơn bán,FANC04,Fl.36h,17/06/2024 20:32:56,36,1,0,,,4391,158073,158073,18969,KM7532CKWCM,KM WCM+ TỪ 09/05-30/06/2024,,,
1332,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005695,Đã duyệt,Đơn bán,FAGS01,Gl.36h,17/06/2024 20:32:56,36,1,0,,,5700,205200,205200,34884,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
1333,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005749,Đã duyệt,Đơn bán,FANC04,Fl.36h,17/06/2024 10:37:41,36,1,0,,,4391,158073,158073,18969,KM7532CKWCM,KM WCM+ TỪ 09/05-30/06/2024,,,
1334,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005749,Đã duyệt,Đơn bán,FAGS01,Gl.36h,17/06/2024 10:37:41,36,1,0,,,5700,205200,205200,34884,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
1335,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005770,Đã duyệt,Đơn bán,FANC10,Fs.36h,26/06/2024 23:19:25,36,1,0,,,4391,158073,158073,22130,KM4094CKFS36H,KM WCM+ TỪ 18/03-30/06/2024,,,
1336,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005770,Đã duyệt,Đơn bán,FANC04,Fl.36h,26/06/2024 23:19:25,36,1,0,,,4391,158073,158073,18969,KM7532CKWCM,KM WCM+ TỪ 09/05-30/06/2024,,,
1337,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007113,VMP DNI 48 Nguyễn Ái Quốc,,48 Nguyễn Ái Quốc-Phường Tân Hiệp,Biên Hòa-Tỉnh Đồng Nai,IN005770,Đã duyệt,Đơn bán,FANC01,Fa.36h,26/06/2024 23:19:25,36,1,0,,,4391,158073,158073,18969,KM8231CKWCM,KM WCM+ TỪ 03/06-30/06/2024,,,
1338,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005195,Đã duyệt,Đơn bán,FANC01,Fa.36h,19/02/2024 15:04:51,36,1,0,,,4391,158073,158073,18969,KM1360WCMFA36H,KM WCM SP FA.36H TỪ 12/02-13/03/2024,,,
1339,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005195,Đã duyệt,Đơn bán,FANC09,Fc.36h,19/02/2024 15:04:51,36,1,0,,,4391,158073,158073,0,,,,,
1340,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005195,Đã duyệt,Đơn bán,FACA02,Ca.40b,19/02/2024 15:04:51,40,1,0,,,3780,151200,151200,0,,,,,
1341,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005195,Đã duyệt,Đơn bán,FANC09,Fc.36h,19/02/2024 15:04:51,6,,,0,6,4391,158073,0,,KM1360WWCM - N2,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FC.36H TẶNG 1 LỐC,,,
1342,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005240,Đã duyệt,Đơn bán,FANC01,Fa.36h,07/03/2024 09:02:37,36,1,0,,,4391,158073,158073,18969,KM1360WCMFA36H,KM WCM SP FA.36H TỪ 12/02-13/03/2024,,,
1343,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005240,Đã duyệt,Đơn bán,FACA05,Cl.36h,07/03/2024 09:02:37,36,1,0,,,4555,163963,163963,19676,KM23756N151223_,KM WM+ TỪ 01/01-31/03/2024,,,
1344,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005240,Đã duyệt,Đơn bán,FANC04,Fl.36h,07/03/2024 09:02:37,36,1,0,,,4391,158073,158073,0,,,,,
1345,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005240,Đã duyệt,Đơn bán,FANC02,Fa.40b,07/03/2024 09:02:37,40,1,0,,,3682,147273,147273,0,,,,,
1346,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005240,Đã duyệt,Đơn bán,FANC04,Fl.36h,07/03/2024 09:02:37,6,,,0,6,4391,158073,0,,KM1360WWCM - N1,KM WCM TỪ 12/02-13/03/2024 - MUA 6 LỐC FI.36H TẶNG 1 LỐC,,,
1347,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005305,Đã duyệt,Đơn bán,FAGS01,Gl.36h,21/03/2024 15:36:45,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
1348,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005305,Đã duyệt,Đơn bán,FAGS02,Gn.36h,21/03/2024 15:36:45,36,1,0,,,5700,205200,205200,34884,KM3603WCM,KM WCM TỪ 07/03-27/03/2024,,,
1349,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005305,Đã duyệt,Đơn bán,FANC02,Fa.40b,21/03/2024 15:36:45,40,1,0,,,3682,147273,147273,0,,,,,
1350,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005324,Đã duyệt,Đơn bán,FACA05,Cl.36h,25/03/2024 08:00:56,36,1,0,,,4555,163963,163963,19676,KM23756N151223_,KM WM+ TỪ 01/01-31/03/2024,,,
1351,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005324,Đã duyệt,Đơn bán,FACA06,Cl.40b,25/03/2024 08:00:56,40,1,0,,,3780,151200,151200,21168,KM4564CKWCM,KM WCM+ TỪ 25/03-27/03/2024,,,
1352,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005324,Đã duyệt,Đơn bán,FANC02,Fa.40b,25/03/2024 08:00:56,40,1,0,,,3682,147273,147273,0,,,,,
1353,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005324,Đã duyệt,Đơn bán,FANC02,Fa.40b,25/03/2024 08:00:56,5,,,0,5,3682,147273,0,,KM4564WCM - N4,KM WCM TỪ 25/03-24/04/2024 - MUA 8 BỊCH FA.40B TẶNG 1 BỊCH,,,
1354,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005415,Đã duyệt,Đơn bán,FACA05,Cl.36h,08/04/2024 21:51:36,36,1,0,,,4555,163963,163963,22955,KM4584CKWCM,KM WCM TỪ 08/04-05/05/2024,,,
1355,MIỀN NAM,ĐÔNG NAM BỘ,ĐÔNG NAM BỘ 01,610005,ST_Hoàng Anh Khoa - Đồng Nai,6004643,Phạm Thanh Thiên,C61007115,VMP DNI 175-177 đường N16,,"175-177 đường N16, KDC đường Võ Thị Sáu, KP7-Phường Thống Nhất",Biên Hòa-Tỉnh Đồng Nai,IN005415,Đã duyệt,Đơn bán,FACA01,Ca.36h,08/04/2024 21:51:36,36,1,0,,,4555,163963,163963,19676,KM4584CKWCM,KM WCM TỪ 08/04-05/05/2024,,,
